"Date","BTC-USD","ETH-USD","LTC-USD","XRP-USD","ADA-USD","TSLA","AAPL","AMZN","MSFT","PG"
"2020-09-14 08:00:00",10680.837891,377.26886,49.090122,0.246327,0.096769,139.873337,115.360001,155.148499,205.410004,138.630005
"2020-09-15 08:00:00",10796.951172,364.839203,48.390099,0.24385,0.093496,149.919998,115.540001,157.806503,208.779999,138.630005
"2020-09-16 08:00:00",10974.905273,365.812286,47.933434,0.247847,0.09165,147.253326,112.129997,153.904999,205.050003,137.699997
"2020-09-17 08:00:00",10948.990234,389.019226,48.877068,0.252194,0.094217,141.143326,110.339996,150.436493,202.910004,137.520004
"2020-09-18 08:00:00",10944.585938,384.364532,48.462814,0.250707,0.091081,147.383331,106.839996,147.745499,200.389999,137.369995
"2020-09-19 08:00:00",11094.34668,385.544373,48.67683,0.251716,0.091657,NA,NA,NA,NA,NA
"2020-09-20 08:00:00",10938.271484,371.052826,47.100529,0.246743,0.089433,NA,NA,NA,NA,NA
"2020-09-21 08:00:00",10462.259766,341.786072,43.390221,0.232138,0.080428,149.796661,110.080002,148.023499,202.539993,136.710007
"2020-09-22 08:00:00",10538.459961,344.503174,44.545048,0.233417,0.081754,141.410004,111.809998,156.449493,207.419998,137.960007
"2020-09-23 08:00:00",10246.186523,321.116302,43.05769,0.221221,0.076763,126.786667,107.120003,149.992996,200.589996,136.309998
"2020-09-24 08:00:00",10760.066406,349.355591,45.039856,0.232905,0.082817,129.263336,108.220001,150.989502,203.190002,136.919998
"2020-09-25 08:00:00",10692.716797,352.183258,46.086311,0.241922,0.096845,135.779999,112.279999,154.7565,207.820007,137.619995
"2020-09-26 08:00:00",10750.723633,355.488098,46.188923,0.24216,0.095564,NA,NA,NA,NA,NA
"2020-09-27 08:00:00",10775.269531,357.438507,46.091694,0.242755,0.101287,NA,NA,NA,NA,NA
"2020-09-28 08:00:00",10709.652344,355.159424,45.355541,0.241862,0.100667,140.399994,114.959999,158.702499,209.440002,138.009995
"2020-09-29 08:00:00",10844.640625,359.757385,45.796562,0.243177,0.101181,139.690002,114.089996,157.244003,207.259995,137.259995
"2020-09-30 08:00:00",10784.491211,359.937866,46.37146,0.241784,0.101062,143.003326,115.809998,157.436493,210.330002,138.990005
"2020-10-01 08:00:00",10619.452148,353.205902,46.313507,0.238249,0.097865,149.386673,116.790001,161.063004,212.460007,139.240005
"2020-10-02 08:00:00",10575.974609,346.238922,44.923973,0.234117,0.092921,138.363327,113.019997,156.25,206.190002,138.119995
"2020-10-03 08:00:00",10549.329102,346.522095,45.581772,0.232938,0.093413,NA,NA,NA,NA,NA
"2020-10-04 08:00:00",10669.583008,352.57901,46.730106,0.247685,0.096348,NA,NA,NA,NA,NA
"2020-10-05 08:00:00",10793.339844,353.956787,46.363228,0.250816,0.097544,141.893326,116.5,159.960007,210.380005,139.389999
"2020-10-06 08:00:00",10604.40625,340.815857,45.985531,0.245341,0.092808,137.993332,113.160004,154.998001,205.910004,139.610001
"2020-10-07 08:00:00",10668.96875,341.808655,46.66048,0.248539,0.0938,141.766663,115.080002,159.7845,209.830002,140.699997
"2020-10-08 08:00:00",10915.685547,350.766144,47.21838,0.251454,0.096152,141.973328,114.970001,159.527496,210.580002,141.649994
"2020-10-09 08:00:00",11064.458008,365.590485,47.832954,0.253491,0.101925,144.666672,116.970001,164.332504,215.809998,142.919998
"2020-10-10 08:00:00",11296.361328,370.96759,48.921097,0.25429,0.105025,NA,NA,NA,NA,NA
"2020-10-11 08:00:00",11384.181641,375.142059,50.727901,0.255719,0.106538,NA,NA,NA,NA,NA
"2020-10-12 08:00:00",11555.363281,387.731262,50.743816,0.256446,0.110034,147.433334,124.400002,172.1465,221.399994,144.490005
"2020-10-13 08:00:00",11425.899414,381.190765,49.940639,0.256323,0.108852,148.883331,121.099998,172.181503,222.860001,144.210007
"2020-10-14 08:00:00",11429.506836,379.484039,49.846489,0.249448,0.107297,153.766663,121.190002,168.185501,220.860001,144.039993
"2020-10-15 08:00:00",11495.349609,377.441833,49.490372,0.24594,0.106635,149.626663,120.709999,166.932495,219.660004,143.830002
"2020-10-16 08:00:00",11322.123047,366.229004,47.692875,0.240443,0.104064,146.556671,119.019997,163.635498,219.660004,144.389999
"2020-10-17 08:00:00",11358.101563,368.855927,47.053928,0.240931,0.106104,NA,NA,NA,NA,NA
"2020-10-18 08:00:00",11483.359375,378.213684,47.619545,0.242225,0.107388,NA,NA,NA,NA,NA
"2020-10-19 08:00:00",11742.037109,379.935608,48.098915,0.245964,0.108677,143.610001,115.980003,160.360504,214.220001,141.910004
"2020-10-20 08:00:00",11916.334961,369.136902,47.051029,0.243573,0.102494,140.646667,117.510002,160.850494,214.649994,142.479996
"2020-10-21 08:00:00",12823.689453,392.189972,53.04533,0.251615,0.106187,140.880005,116.870003,159.246994,214.800003,143.25
"2020-10-22 08:00:00",12965.891602,413.77298,54.267277,0.256807,0.110572,141.929993,115.75,158.820007,214.889999,141.449997
"2020-10-23 08:00:00",12931.539063,409.766693,55.238689,0.254879,0.108083,140.210007,115.040001,160.220001,216.229996,142.380005
"2020-10-24 08:00:00",13108.0625,412.457611,59.095589,0.256431,0.108075,NA,NA,NA,NA,NA
"2020-10-25 08:00:00",13031.173828,406.217773,58.674801,0.253213,0.106351,NA,NA,NA,NA,NA
"2020-10-26 08:00:00",13075.248047,393.888306,56.745777,0.248688,0.103097,140.093338,115.050003,160.352005,210.080002,141.300003
"2020-10-27 08:00:00",13654.21875,403.99704,57.816051,0.252899,0.102827,141.559998,116.599998,164.316498,213.25,142.360001
"2020-10-28 08:00:00",13271.285156,388.650757,55.742512,0.245865,0.098977,135.339996,111.199997,158.139008,202.679993,137.660004
"2020-10-29 08:00:00",13437.882813,386.730103,54.765854,0.242295,0.095376,136.943329,115.32,160.550507,204.720001,137.570007
"2020-10-30 08:00:00",13546.522461,382.819977,53.835033,0.239184,0.093369,129.346664,108.860001,151.807495,202.470001,137.100006
"2020-10-31 08:00:00",13780.995117,386.590332,55.59026,0.239744,0.093056,NA,NA,NA,NA,NA
"2020-11-01 08:00:00",13737.109375,396.358185,55.587624,0.239797,0.098197,NA,NA,NA,NA,NA
"2020-11-02 08:00:00",13550.489258,383.156738,53.817482,0.235421,0.092143,133.503326,108.769997,150.223999,202.330002,138.5
"2020-11-03 08:00:00",13950.300781,387.602173,53.819622,0.23951,0.093434,141.300003,110.440002,152.420502,206.429993,141.220001
"2020-11-04 08:00:00",14133.707031,402.141998,54.499104,0.237793,0.095369,140.32666,114.949997,162.057999,216.389999,140.639999
"2020-11-05 08:00:00",15579.848633,414.067352,58.678497,0.245776,0.096994,146.029999,119.029999,166.100006,223.289993,142.380005
"2020-11-06 08:00:00",15565.880859,454.719299,63.131111,0.258445,0.109105,143.316666,118.690002,165.568497,223.720001,143.229996
"2020-11-07 08:00:00",14833.753906,435.713135,59.143646,0.249582,0.101379,NA,NA,NA,NA,NA
"2020-11-08 08:00:00",15479.567383,453.554779,61.055046,0.253939,0.106621,NA,NA,NA,NA,NA
"2020-11-09 08:00:00",15332.31543,444.163055,59.363884,0.250748,0.105325,140.419998,116.32,157.186996,218.389999,137.990005
"2020-11-10 08:00:00",15290.902344,449.679626,58.237343,0.253911,0.105805,136.786667,115.970001,151.751007,211.009995,140.259995
"2020-11-11 08:00:00",15701.339844,462.960541,59.51503,0.256259,0.105965,139.043335,119.489998,156.869507,216.550003,142.070007
"2020-11-12 08:00:00",16276.34375,461.00528,60.365379,0.254903,0.104525,137.253326,119.209999,155.514008,215.440002,142.149994
"2020-11-13 08:00:00",16317.808594,474.626434,65.457199,0.265191,0.106391,136.166672,119.260002,156.440506,216.509995,144.279999
"2020-11-14 08:00:00",16068.138672,460.149841,63.774151,0.268342,0.104202,NA,NA,NA,NA,NA
"2020-11-15 08:00:00",15955.587891,447.559082,62.279922,0.269642,0.100531,NA,NA,NA,NA,NA
"2020-11-16 08:00:00",16716.111328,459.940308,71.326248,0.28552,0.104008,136.029999,120.300003,156.552994,217.229996,142.429993
"2020-11-17 08:00:00",17645.40625,480.360077,75.852341,0.302408,0.1096,147.203339,119.389999,156.783005,214.460007,141.880005
"2020-11-18 08:00:00",17804.005859,479.48407,73.694939,0.294222,0.106403,162.213333,118.029999,155.272995,211.080002,139.699997
"2020-11-19 08:00:00",17817.089844,471.630432,81.68367,0.303766,0.105866,166.42334,118.639999,155.850998,212.419998,139.529999
"2020-11-20 08:00:00",18621.314453,509.744568,82.583153,0.328068,0.118226,163.203339,117.339996,154.970001,210.389999,139.300003
"2020-11-21 08:00:00",18642.232422,549.486633,86.410118,0.458344,0.132945,NA,NA,NA,NA,NA
"2020-11-22 08:00:00",18370.001953,558.068115,82.704208,0.4437,0.14476,NA,NA,NA,NA,NA
"2020-11-23 08:00:00",18364.121094,608.454041,89.039314,0.61398,0.15351,173.949997,113.849998,154.919495,210.110001,138.759995
"2020-11-24 08:00:00",19107.464844,603.897766,89.205376,0.692103,0.166323,185.126663,115.169998,155.903,213.860001,138.309998
"2020-11-25 08:00:00",18732.121094,570.686646,81.880127,0.635483,0.155162,191.333328,116.029999,159.253494,213.869995,138.679993
"2020-11-26 08:00:00",17150.623047,518.801147,70.865723,0.533019,0.138281,NA,NA,NA,NA,NA
"2020-11-27 08:00:00",17108.402344,517.493713,69.123871,0.559268,0.141028,195.253326,116.589996,159.766998,215.229996,138.610001
"2020-11-28 08:00:00",17717.414063,538.229797,72.692963,0.625622,0.164791,NA,NA,NA,NA,NA
"2020-11-29 08:00:00",18177.484375,575.758057,79.235069,0.606246,0.166639,NA,NA,NA,NA,NA
"2020-11-30 08:00:00",19625.835938,614.842529,87.574631,0.664337,0.171308,189.199997,119.050003,158.401993,214.070007,138.869995
"2020-12-01 08:00:00",18802.998047,587.324158,85.435768,0.612923,0.155983,194.919998,122.720001,161.003998,216.210007,139.369995
"2020-12-02 08:00:00",19201.091797,598.352356,88.856514,0.629893,0.158557,189.606674,123.080002,160.176498,215.369995,138.360001
"2020-12-03 08:00:00",19445.398438,616.70874,89.098969,0.631483,0.164212,197.793335,122.940002,159.336502,214.240005,137.339996
"2020-12-04 08:00:00",18699.765625,569.354187,80.017075,0.557262,0.148241,199.679993,122.25,158.128998,214.360001,137.470001
"2020-12-05 08:00:00",19154.230469,596.595459,83.118729,0.584421,0.159668,NA,NA,NA,NA,NA
"2020-12-06 08:00:00",19345.121094,601.908997,83.555336,0.619851,0.158867,NA,NA,NA,NA,NA
"2020-12-07 08:00:00",19191.630859,591.843384,83.624062,0.608934,0.15413,213.919998,123.75,157.899994,214.289993,137.679993
"2020-12-08 08:00:00",18321.144531,554.827759,76.748657,0.558836,0.140928,216.626663,124.379997,158.864502,216.009995,138.050003
"2020-12-09 08:00:00",18553.916016,573.479126,77.41098,0.58359,0.148165,201.493332,121.779999,155.210007,211.800003,136.410004
"2020-12-10 08:00:00",18264.992188,559.678528,74.829559,0.572954,0.141994,209.023331,123.239998,155.074493,210.520004,135.509995
"2020-12-11 08:00:00",18058.904297,545.797363,72.087334,0.546483,0.139449,203.330002,122.410004,155.820999,213.259995,136.509995
"2020-12-12 08:00:00",18803.65625,568.567322,76.706894,0.506401,0.14446,NA,NA,NA,NA,NA
"2020-12-13 08:00:00",19142.382813,589.663208,82.000641,0.511464,0.153964,NA,NA,NA,NA,NA
"2020-12-14 08:00:00",19246.644531,586.011169,82.363159,0.497712,0.157992,213.276672,121.779999,157.848495,214.199997,135.850006
"2020-12-15 08:00:00",19417.076172,589.355591,81.400673,0.46971,0.154305,211.083328,127.879997,158.255997,214.130005,136.649994
"2020-12-16 08:00:00",21310.597656,636.181824,92.789688,0.568628,0.167589,207.589996,127.809998,162.048004,219.279999,137.270004
